Name,Given Name,Additional Name,Family Name,Yomi Name,Given Name Yomi,Additional Name Yomi,Family Name Yomi,Name Prefix,Name Suffix,Initials,Nickname,Short Name,Maiden Name,Birthday,Gender,Location,Billing Information,Directory Server,Mileage,Occupation,Hobby,Sensitivity,Priority,Subject,Notes,Group Membership,E-mail 1 - Type,E-mail 1 - Value,Phone 1 - Type,Phone 1 - Value,Phone 2 - Type,Phone 2 - Value,Phone 3 - Type,Phone 3 - Value,Phone 4 - Type,Phone 4 - Value,Phone 5 - Type,Phone 5 - Value
zzz1030 zzyyy1030,zzz1030,,zzyyy1030,,,,,,,,,,,,,,,,,,,,,,,* My Contacts ::: Imported 6/14/14,* Other,zzz1030zzyyy1030@thatmightbe.com,,,,,,,,,,
zzz1031 zzyyy1031,zzz1031,,zzyyy1031,,,,,,,,,,,,,,,,,,,,,,,* My Contacts ::: Imported 6/14/14,* Other,zzz1031zzyyy1031@thatmightbe.com,,,,,,,,,,
zzz1032 zzyyy1032,zzz1032,,zzyyy1032,,,,,,,,,,,,,,,,,,,,,,,* My Contacts ::: Imported 6/14/14,* Other,zzz1032zzyyy1032@thatmightbe.com,,,,,,,,,,
zzz1033 zzyyy1033,zzz1033,,zzyyy1033,,,,,,,,,,,,,,,,,,,,,,,* My Contacts ::: Imported 6/14/14,* Other,zzz1033zzyyy1033@thatmightbe.com,,,,,,,,,,
zzz1034 zzyyy1034,zzz1034,,zzyyy1034,,,,,,,,,,,,,,,,,,,,,,,* My Contacts ::: Imported 6/14/14,* Other,zzz1034zzyyy1034@thatmightbe.com,,,,,,,,,,
zzz1035 zzyyy1035,zzz1035,,zzyyy1035,,,,,,,,,,,,,,,,,,,,,,,* My Contacts ::: Imported 6/14/14,* Other,zzz1035zzyyy1035@thatmightbe.com,,,,,,,,,,
zzz1036 zzyyy1036,zzz1036,,zzyyy1036,,,,,,,,,,,,,,,,,,,,,,,* My Contacts ::: Imported 6/14/14,* Other,zzz1036zzyyy1036@thatmightbe.com,,,,,,,,,,
zzz1037 zzyyy1037,zzz1037,,zzyyy1037,,,,,,,,,,,,,,,,,,,,,,,* My Contacts ::: Imported 6/14/14,* Other,zzz1037zzyyy1037@thatmightbe.com,,,,,,,,,,
zzz1038 zzyyy1038,zzz1038,,zzyyy1038,,,,,,,,,,,,,,,,,,,,,,,* My Contacts ::: Imported 6/14/14,* Other,zzz1038zzyyy1038@thatmightbe.com,,,,,,,,,,
zzz1039 zzyyy1039,zzz1039,,zzyyy1039,,,,,,,,,,,,,,,,,,,,,,,* My Contacts ::: Imported 6/14/14,* Other,zzz1039zzyyy1039@thatmightbe.com,,,,,,,,,,
zzz104 zzyyy104,zzz104,,zzyyy104,,,,,,,,,,,,,,,,,,,,,,,* My Contacts ::: Imported 6/14/14,* Other,zzz104zzyyy104@thatmightbe.com,,,,,,,,,,
zzz1040 zzyyy1040,zzz1040,,zzyyy1040,,,,,,,,,,,,,,,,,,,,,,,* My Contacts ::: Imported 6/14/14,* Other,zzz1040zzyyy1040@thatmightbe.com,,,,,,,,,,
zzz1041 zzyyy1041,zzz1041,,zzyyy1041,,,,,,,,,,,,,,,,,,,,,,,* My Contacts ::: Imported 6/14/14,* Other,zzz1041zzyyy1041@thatmightbe.com,,,,,,,,,,
zzz1042 zzyyy1042,zzz1042,,zzyyy1042,,,,,,,,,,,,,,,,,,,,,,,* My Contacts ::: Imported 6/14/14,* Other,zzz1042zzyyy1042@thatmightbe.com,,,,,,,,,,
zzz1043 zzyyy1043,zzz1043,,zzyyy1043,,,,,,,,,,,,,,,,,,,,,,,* My Contacts ::: Imported 6/14/14,* Other,zzz1043zzyyy1043@thatmightbe.com,,,,,,,,,,
zzz1044 zzyyy1044,zzz1044,,zzyyy1044,,,,,,,,,,,,,,,,,,,,,,,* My Contacts ::: Imported 6/14/14,* Other,zzz1044zzyyy1044@thatmightbe.com,,,,,,,,,,
zzz1045 zzyyy1045,zzz1045,,zzyyy1045,,,,,,,,,,,,,,,,,,,,,,,* My Contacts ::: Imported 6/14/14,* Other,zzz1045zzyyy1045@thatmightbe.com,,,,,,,,,,
zzz1046 zzyyy1046,zzz1046,,zzyyy1046,,,,,,,,,,,,,,,,,,,,,,,* My Contacts ::: Imported 6/14/14,* Other,zzz1046zzyyy1046@thatmightbe.com,,,,,,,,,,
zzz1047 zzyyy1047,zzz1047,,zzyyy1047,,,,,,,,,,,,,,,,,,,,,,,* My Contacts ::: Imported 6/14/14,* Other,zzz1047zzyyy1047@thatmightbe.com,,,,,,,,,,
zzz1048 zzyyy1048,zzz1048,,zzyyy1048,,,,,,,,,,,,,,,,,,,,,,,* My Contacts ::: Imported 6/14/14,* Other,zzz1048zzyyy1048@thatmightbe.com,,,,,,,,,,
zzz1049 zzyyy1049,zzz1049,,zzyyy1049,,,,,,,,,,,,,,,,,,,,,,,* My Contacts ::: Imported 6/14/14,* Other,zzz1049zzyyy1049@thatmightbe.com,,,,,,,,,,
zzz105 zzyyy105,zzz105,,zzyyy105,,,,,,,,,,,,,,,,,,,,,,,* My Contacts ::: Imported 6/14/14,* Other,zzz105zzyyy105@thatmightbe.com,,,,,,,,,,
zzz1050 zzyyy1050,zzz1050,,zzyyy1050,,,,,,,,,,,,,,,,,,,,,,,* My Contacts ::: Imported 6/14/14,* Other,zzz1050zzyyy1050@thatmightbe.com,,,,,,,,,,
zzz1051 zzyyy1051,zzz1051,,zzyyy1051,,,,,,,,,,,,,,,,,,,,,,,* My Contacts ::: Imported 6/14/14,* Other,zzz1051zzyyy1051@thatmightbe.com,,,,,,,,,,
zzz1052 zzyyy1052,zzz1052,,zzyyy1052,,,,,,,,,,,,,,,,,,,,,,,* My Contacts ::: Imported 6/14/14,* Other,zzz1052zzyyy1052@thatmightbe.com,,,,,,,,,,
zzz1053 zzyyy1053,zzz1053,,zzyyy1053,,,,,,,,,,,,,,,,,,,,,,,* My Contacts ::: Imported 6/14/14,* Other,zzz1053zzyyy1053@thatmightbe.com,,,,,,,,,,
zzz1054 zzyyy1054,zzz1054,,zzyyy1054,,,,,,,,,,,,,,,,,,,,,,,* My Contacts ::: Imported 6/14/14,* Other,zzz1054zzyyy1054@thatmightbe.com,,,,,,,,,,
zzz1055 zzyyy1055,zzz1055,,zzyyy1055,,,,,,,,,,,,,,,,,,,,,,,* My Contacts ::: Imported 6/14/14,* Other,zzz1055zzyyy1055@thatmightbe.com,,,,,,,,,,
zzz1056 zzyyy1056,zzz1056,,zzyyy1056,,,,,,,,,,,,,,,,,,,,,,,* My Contacts ::: Imported 6/14/14,* Other,zzz1056zzyyy1056@thatmightbe.com,,,,,,,,,,
zzz1057 zzyyy1057,zzz1057,,zzyyy1057,,,,,,,,,,,,,,,,,,,,,,,* My Contacts ::: Imported 6/14/14,* Other,zzz1057zzyyy1057@thatmightbe.com,,,,,,,,,,
zzz1058 zzyyy1058,zzz1058,,zzyyy1058,,,,,,,,,,,,,,,,,,,,,,,* My Contacts ::: Imported 6/14/14,* Other,zzz1058zzyyy1058@thatmightbe.com,,,,,,,,,,
zzz1059 zzyyy1059,zzz1059,,zzyyy1059,,,,,,,,,,,,,,,,,,,,,,,* My Contacts ::: Imported 6/14/14,* Other,zzz1059zzyyy1059@thatmightbe.com,,,,,,,,,,
zzz106 zzyyy106,zzz106,,zzyyy106,,,,,,,,,,,,,,,,,,,,,,,* My Contacts ::: Imported 6/14/14,* Other,zzz106zzyyy106@thatmightbe.com,,,,,,,,,,
zzz1060 zzyyy1060,zzz1060,,zzyyy1060,,,,,,,,,,,,,,,,,,,,,,,* My Contacts ::: Imported 6/14/14,* Other,zzz1060zzyyy1060@thatmightbe.com,,,,,,,,,,
zzz1061 zzyyy1061,zzz1061,,zzyyy1061,,,,,,,,,,,,,,,,,,,,,,,* My Contacts ::: Imported 6/14/14,* Other,zzz1061zzyyy1061@thatmightbe.com,,,,,,,,,,
zzz1062 zzyyy1062,zzz1062,,zzyyy1062,,,,,,,,,,,,,,,,,,,,,,,* My Contacts ::: Imported 6/14/14,* Other,zzz1062zzyyy1062@thatmightbe.com,,,,,,,,,,
zzz1063 zzyyy1063,zzz1063,,zzyyy1063,,,,,,,,,,,,,,,,,,,,,,,* My Contacts ::: Imported 6/14/14,* Other,zzz1063zzyyy1063@thatmightbe.com,,,,,,,,,,
zzz1064 zzyyy1064,zzz1064,,zzyyy1064,,,,,,,,,,,,,,,,,,,,,,,* My Contacts ::: Imported 6/14/14,* Other,zzz1064zzyyy1064@thatmightbe.com,,,,,,,,,,
zzz1065 zzyyy1065,zzz1065,,zzyyy1065,,,,,,,,,,,,,,,,,,,,,,,* My Contacts ::: Imported 6/14/14,* Other,zzz1065zzyyy1065@thatmightbe.com,,,,,,,,,,
zzz1066 zzyyy1066,zzz1066,,zzyyy1066,,,,,,,,,,,,,,,,,,,,,,,* My Contacts ::: Imported 6/14/14,* Other,zzz1066zzyyy1066@thatmightbe.com,,,,,,,,,,
zzz1067 zzyyy1067,zzz1067,,zzyyy1067,,,,,,,,,,,,,,,,,,,,,,,* My Contacts ::: Imported 6/14/14,* Other,zzz1067zzyyy1067@thatmightbe.com,,,,,,,,,,
zzz1068 zzyyy1068,zzz1068,,zzyyy1068,,,,,,,,,,,,,,,,,,,,,,,* My Contacts ::: Imported 6/14/14,* Other,zzz1068zzyyy1068@thatmightbe.com,,,,,,,,,,
zzz1069 zzyyy1069,zzz1069,,zzyyy1069,,,,,,,,,,,,,,,,,,,,,,,* My Contacts ::: Imported 6/14/14,* Other,zzz1069zzyyy1069@thatmightbe.com,,,,,,,,,,
zzz107 zzyyy107,zzz107,,zzyyy107,,,,,,,,,,,,,,,,,,,,,,,* My Contacts ::: Imported 6/14/14,* Other,zzz107zzyyy107@thatmightbe.com,,,,,,,,,,
zzz1070 zzyyy1070,zzz1070,,zzyyy1070,,,,,,,,,,,,,,,,,,,,,,,* My Contacts ::: Imported 6/14/14,* Other,zzz1070zzyyy1070@thatmightbe.com,,,,,,,,,,
zzz1071 zzyyy1071,zzz1071,,zzyyy1071,,,,,,,,,,,,,,,,,,,,,,,* My Contacts ::: Imported 6/14/14,* Other,zzz1071zzyyy1071@thatmightbe.com,,,,,,,,,,
zzz1072 zzyyy1072,zzz1072,,zzyyy1072,,,,,,,,,,,,,,,,,,,,,,,* My Contacts ::: Imported 6/14/14,* Other,zzz1072zzyyy1072@thatmightbe.com,,,,,,,,,,
zzz1073 zzyyy1073,zzz1073,,zzyyy1073,,,,,,,,,,,,,,,,,,,,,,,* My Contacts ::: Imported 6/14/14,* Other,zzz1073zzyyy1073@thatmightbe.com,,,,,,,,,,
zzz1074 zzyyy1074,zzz1074,,zzyyy1074,,,,,,,,,,,,,,,,,,,,,,,* My Contacts ::: Imported 6/14/14,* Other,zzz1074zzyyy1074@thatmightbe.com,,,,,,,,,,
zzz1075 zzyyy1075,zzz1075,,zzyyy1075,,,,,,,,,,,,,,,,,,,,,,,* My Contacts ::: Imported 6/14/14,* Other,zzz1075zzyyy1075@thatmightbe.com,,,,,,,,,,
zzz1076 zzyyy1076,zzz1076,,zzyyy1076,,,,,,,,,,,,,,,,,,,,,,,* My Contacts ::: Imported 6/14/14,* Other,zzz1076zzyyy1076@thatmightbe.com,,,,,,,,,,
zzz1077 zzyyy1077,zzz1077,,zzyyy1077,,,,,,,,,,,,,,,,,,,,,,,* My Contacts ::: Imported 6/14/14,* Other,zzz1077zzyyy1077@thatmightbe.com,,,,,,,,,,
zzz1078 zzyyy1078,zzz1078,,zzyyy1078,,,,,,,,,,,,,,,,,,,,,,,* My Contacts ::: Imported 6/14/14,* Other,zzz1078zzyyy1078@thatmightbe.com,,,,,,,,,,
zzz1079 zzyyy1079,zzz1079,,zzyyy1079,,,,,,,,,,,,,,,,,,,,,,,* My Contacts ::: Imported 6/14/14,* Other,zzz1079zzyyy1079@thatmightbe.com,,,,,,,,,,
zzz108 zzyyy108,zzz108,,zzyyy108,,,,,,,,,,,,,,,,,,,,,,,* My Contacts ::: Imported 6/14/14,* Other,zzz108zzyyy108@thatmightbe.com,,,,,,,,,,
zzz1080 zzyyy1080,zzz1080,,zzyyy1080,,,,,,,,,,,,,,,,,,,,,,,* My Contacts ::: Imported 6/14/14,* Other,zzz1080zzyyy1080@thatmightbe.com,,,,,,,,,,
zzz1081 zzyyy1081,zzz1081,,zzyyy1081,,,,,,,,,,,,,,,,,,,,,,,* My Contacts ::: Imported 6/14/14,* Other,zzz1081zzyyy1081@thatmightbe.com,,,,,,,,,,
zzz1082 zzyyy1082,zzz1082,,zzyyy1082,,,,,,,,,,,,,,,,,,,,,,,* My Contacts ::: Imported 6/14/14,* Other,zzz1082zzyyy1082@thatmightbe.com,,,,,,,,,,
zzz1083 zzyyy1083,zzz1083,,zzyyy1083,,,,,,,,,,,,,,,,,,,,,,,* My Contacts ::: Imported 6/14/14,* Other,zzz1083zzyyy1083@thatmightbe.com,,,,,,,,,,
zzz1084 zzyyy1084,zzz1084,,zzyyy1084,,,,,,,,,,,,,,,,,,,,,,,* My Contacts ::: Imported 6/14/14,* Other,zzz1084zzyyy1084@thatmightbe.com,,,,,,,,,,
zzz1085 zzyyy1085,zzz1085,,zzyyy1085,,,,,,,,,,,,,,,,,,,,,,,* My Contacts ::: Imported 6/14/14,* Other,zzz1085zzyyy1085@thatmightbe.com,,,,,,,,,,
zzz1086 zzyyy1086,zzz1086,,zzyyy1086,,,,,,,,,,,,,,,,,,,,,,,* My Contacts ::: Imported 6/14/14,* Other,zzz1086zzyyy1086@thatmightbe.com,,,,,,,,,,
zzz1087 zzyyy1087,zzz1087,,zzyyy1087,,,,,,,,,,,,,,,,,,,,,,,* My Contacts ::: Imported 6/14/14,* Other,zzz1087zzyyy1087@thatmightbe.com,,,,,,,,,,
zzz1088 zzyyy1088,zzz1088,,zzyyy1088,,,,,,,,,,,,,,,,,,,,,,,* My Contacts ::: Imported 6/14/14,* Other,zzz1088zzyyy1088@thatmightbe.com,,,,,,,,,,
zzz1089 zzyyy1089,zzz1089,,zzyyy1089,,,,,,,,,,,,,,,,,,,,,,,* My Contacts ::: Imported 6/14/14,* Other,zzz1089zzyyy1089@thatmightbe.com,,,,,,,,,,
zzz109 zzyyy109,zzz109,,zzyyy109,,,,,,,,,,,,,,,,,,,,,,,* My Contacts ::: Imported 6/14/14,* Other,zzz109zzyyy109@thatmightbe.com,,,,,,,,,,
zzz1090 zzyyy1090,zzz1090,,zzyyy1090,,,,,,,,,,,,,,,,,,,,,,,* My Contacts ::: Imported 6/14/14,* Other,zzz1090zzyyy1090@thatmightbe.com,,,,,,,,,,
zzz1091 zzyyy1091,zzz1091,,zzyyy1091,,,,,,,,,,,,,,,,,,,,,,,* My Contacts ::: Imported 6/14/14,* Other,zzz1091zzyyy1091@thatmightbe.com,,,,,,,,,,
zzz1092 zzyyy1092,zzz1092,,zzyyy1092,,,,,,,,,,,,,,,,,,,,,,,* My Contacts ::: Imported 6/14/14,* Other,zzz1092zzyyy1092@thatmightbe.com,,,,,,,,,,
zzz1093 zzyyy1093,zzz1093,,zzyyy1093,,,,,,,,,,,,,,,,,,,,,,,* My Contacts ::: Imported 6/14/14,* Other,zzz1093zzyyy1093@thatmightbe.com,,,,,,,,,,
zzz1094 zzyyy1094,zzz1094,,zzyyy1094,,,,,,,,,,,,,,,,,,,,,,,* My Contacts ::: Imported 6/14/14,* Other,zzz1094zzyyy1094@thatmightbe.com,,,,,,,,,,
zzz1095 zzyyy1095,zzz1095,,zzyyy1095,,,,,,,,,,,,,,,,,,,,,,,* My Contacts ::: Imported 6/14/14,* Other,zzz1095zzyyy1095@thatmightbe.com,,,,,,,,,,
zzz1096 zzyyy1096,zzz1096,,zzyyy1096,,,,,,,,,,,,,,,,,,,,,,,* My Contacts ::: Imported 6/14/14,* Other,zzz1096zzyyy1096@thatmightbe.com,,,,,,,,,,
zzz1097 zzyyy1097,zzz1097,,zzyyy1097,,,,,,,,,,,,,,,,,,,,,,,* My Contacts ::: Imported 6/14/14,* Other,zzz1097zzyyy1097@thatmightbe.com,,,,,,,,,,
zzz1098 zzyyy1098,zzz1098,,zzyyy1098,,,,,,,,,,,,,,,,,,,,,,,* My Contacts ::: Imported 6/14/14,* Other,zzz1098zzyyy1098@thatmightbe.com,,,,,,,,,,
zzz1099 zzyyy1099,zzz1099,,zzyyy1099,,,,,,,,,,,,,,,,,,,,,,,* My Contacts ::: Imported 6/14/14,* Other,zzz1099zzyyy1099@thatmightbe.com,,,,,,,,,,
zzz11 zzyyy11,zzz11,,zzyyy11,,,,,,,,,,,,,,,,,,,,,,,* My Contacts ::: Imported 6/14/14,* Other,zzz11zzyyy11@thatmightbe.com,,,,,,,,,,
zzz110 zzyyy110,zzz110,,zzyyy110,,,,,,,,,,,,,,,,,,,,,,,* My Contacts ::: Imported 6/14/14,* Other,zzz110zzyyy110@thatmightbe.com,,,,,,,,,,
zzz1100 zzyyy1100,zzz1100,,zzyyy1100,,,,,,,,,,,,,,,,,,,,,,,* My Contacts ::: Imported 6/14/14,* Other,zzz1100zzyyy1100@thatmightbe.com,,,,,,,,,,
zzz1101 zzyyy1101,zzz1101,,zzyyy1101,,,,,,,,,,,,,,,,,,,,,,,* My Contacts ::: Imported 6/14/14,* Other,zzz1101zzyyy1101@thatmightbe.com,,,,,,,,,,
zzz1102 zzyyy1102,zzz1102,,zzyyy1102,,,,,,,,,,,,,,,,,,,,,,,* My Contacts ::: Imported 6/14/14,* Other,zzz1102zzyyy1102@thatmightbe.com,,,,,,,,,,
zzz1103 zzyyy1103,zzz1103,,zzyyy1103,,,,,,,,,,,,,,,,,,,,,,,* My Contacts ::: Imported 6/14/14,* Other,zzz1103zzyyy1103@thatmightbe.com,,,,,,,,,,
zzz1104 zzyyy1104,zzz1104,,zzyyy1104,,,,,,,,,,,,,,,,,,,,,,,* My Contacts ::: Imported 6/14/14,* Other,zzz1104zzyyy1104@thatmightbe.com,,,,,,,,,,
zzz1105 zzyyy1105,zzz1105,,zzyyy1105,,,,,,,,,,,,,,,,,,,,,,,* My Contacts ::: Imported 6/14/14,* Other,zzz1105zzyyy1105@thatmightbe.com,,,,,,,,,,
zzz1106 zzyyy1106,zzz1106,,zzyyy1106,,,,,,,,,,,,,,,,,,,,,,,* My Contacts ::: Imported 6/14/14,* Other,zzz1106zzyyy1106@thatmightbe.com,,,,,,,,,,
zzz1107 zzyyy1107,zzz1107,,zzyyy1107,,,,,,,,,,,,,,,,,,,,,,,* My Contacts ::: Imported 6/14/14,* Other,zzz1107zzyyy1107@thatmightbe.com,,,,,,,,,,
zzz1108 zzyyy1108,zzz1108,,zzyyy1108,,,,,,,,,,,,,,,,,,,,,,,* My Contacts ::: Imported 6/14/14,* Other,zzz1108zzyyy1108@thatmightbe.com,,,,,,,,,,
zzz1109 zzyyy1109,zzz1109,,zzyyy1109,,,,,,,,,,,,,,,,,,,,,,,* My Contacts ::: Imported 6/14/14,* Other,zzz1109zzyyy1109@thatmightbe.com,,,,,,,,,,
zzz111 zzyyy111,zzz111,,zzyyy111,,,,,,,,,,,,,,,,,,,,,,,* My Contacts ::: Imported 6/14/14,* Other,zzz111zzyyy111@thatmightbe.com,,,,,,,,,,
zzz1110 zzyyy1110,zzz1110,,zzyyy1110,,,,,,,,,,,,,,,,,,,,,,,* My Contacts ::: Imported 6/14/14,* Other,zzz1110zzyyy1110@thatmightbe.com,,,,,,,,,,
